run_at,operator,source_type,title,url,keywords,score,business_opportunity
2026-06-10T00:45:34.091961+00:00,YPF,company_page,YPF source page,https://www.ypf.com/,vaca muerta,45,Strategic monitoring
2026-06-10T00:45:34.102822+00:00,YPF,investor_or_public_link,https://novedades.ypf.com/r/documents.html?p=ypf-presento-un-nuevo-rigi-para-vaca-muertapdf.pdf,https://novedades.ypf.com/r/documents.html?p=ypf-presento-un-nuevo-rigi-para-vaca-muertapdf.pdf,rig,45,Drilling rigs
2026-06-10T00:45:34.592635+00:00,VISTA,company_page,VISTA source page,https://www.vistaenergy.com/,vaca muerta,45,Strategic monitoring
2026-06-10T00:45:35.251978+00:00,TECPETROL,company_page,TECPETROL source page,https://www.tecpetrol.com/,inversión;rig;vaca muerta,95,Drilling rigs
2026-06-10T00:45:36.378768+00:00,TECPETROL,company_page,TECPETROL source page,https://www.techint.com/,rig;vaca muerta,75,Drilling rigs
2026-06-10T00:45:37.698589+00:00,PAE,company_page,PAE source page,https://www.pan-energy.com/,emisiones,25,Venting / emissions
2026-06-10T00:45:41.023975+00:00,TOTALENERGIES,company_page,TOTALENERGIES source page,https://totalenergies.com/investors,emissions;investment;rig,60,Drilling rigs; Venting / emissions
